date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
03/Dec/2022,15:00,Newcastle,17,London Irish,39,Gtech Community Stadium,away,Wayne Barnes,56,L,N,15,Sat,Dec,2022,2022-23,0,1,2,2,1,0,5,4,2,0
03/Dec/2022,17:30,Gloucester,34,Northampton,19,Kingsholm,home,Ian Tempest,53,W,N,17,Sat,Dec,2022,2022-23,1,0,4,4,2,0,3,2,0,0
03/Dec/2022,17:30,Northampton,19,Gloucester,34,Kingsholm,away,Ian Tempest,53,L,N,17,Sat,Dec,2022,2022-23,0,1,3,2,0,0,4,4,2,0
03/Dec/2022,20:00,Bristol,26,Leicester,26,Ashton Gate,home,Craig Maxwell-Keys,52,D,N,20,Sat,Dec,2022,2022-23,1,0,4,3,0,0,3,1,3,0
03/Dec/2022,20:00,Leicester,26,Bristol,26,Ashton Gate,away,Craig Maxwell-Keys,52,D,N,20,Sat,Dec,2022,2022-23,0,1,3,1,3,0,4,3,0,0
23/Dec/2022,19:45,London Irish,29,Saracens,20,Gtech Community Stadium,home,Matthew Carley,49,W,N,19,Fri,Dec,2022,2022-23,0,0,2,2,5,0,2,2,2,0
23/Dec/2022,19:45,Saracens,20,London Irish,29,Gtech Community Stadium,away,Matthew Carley,49,L,N,19,Fri,Dec,2022,2022-23,0,0,2,2,2,0,2,2,5,0
23/Dec/2022,19:45,Newcastle,20,Sale,14,Kingston Park,home,Adam Leal,34,W,N,19,Fri,Dec,2022,2022-23,0,1,2,2,2,0,2,2,0,0
23/Dec/2022,19:45,Sale,14,Newcastle,20,Kingston Park,away,Adam Leal,34,L,N,19,Fri,Dec,2022,2022-23,1,0,2,2,0,0,2,2,2,0
24/Dec/2022,15:00,Exeter,20,Bath,15,Sandy Park,home,Tom Foley,35,W,N,15,Sat,Dec,2022,2022-23,0,1,2,2,2,0,2,1,1,0
24/Dec/2022,15:00,Bath,15,Exeter,20,Sandy Park,away,Tom Foley,35,L,N,15,Sat,Dec,2022,2022-23,1,0,2,1,1,0,2,2,2,0
24/Dec/2022,15:00,Leicester,28,Gloucester,13,Welford Road,home,Christophe Ridley,41,W,N,15,Sat,Dec,2022,2022-23,0,0,3,2,3,0,2,0,1,0
24/Dec/2022,15:00,Gloucester,13,Leicester,28,Welford Road,away,Christophe Ridley,41,L,N,15,Sat,Dec,2022,2022-23,0,0,2,0,1,0,3,2,3,0
